"ISO","Cases_Resistance_All","Cases_Resilience_All","Cases_Reduction_All","Cases_R2_fit_All","Tests_Resistance_All","Tests_Resilience_All","Tests_Reduction_All","Tests_R2_fit_All","Deaths_Resistance_All","Deaths_Resilience_All","Deaths_Reduction_All","Deaths_R2_fit_All","Cases_Peak_DOY","Tests_Peak_DOY","Deaths_Peak_DOY","Stringency_Mean_Cases_All","Stringency_Max_Cases_All","Stringency_Mean_Tests_All","Stringency_Max_Tests_All","Stringency_Mean_Deaths_All","Stringency_Max_Deaths_All","Stringency_Diff_Cases_All","Stringency_Diff_Tests_All","Stringency_Diff_Deaths_All","Stringency_DiffMax_Cases_All","Stringency_DiffMax_Tests_All","Stringency_DiffMax_Deaths_All","Stringency_DiffPreIn_Cases_All","Stringency_DiffPreIn_Deaths_All","Stringency_DiffOutIn_Cases_All","Stringency_DiffOutIn_Deaths_All","Stringency_Diff_MinMax_PreIn_Cases_All","Stringency_Diff_MinMax_PreIn_Deaths_All","Stringency_Diff_MinMax_OutIn_Cases_All","Stringency_Diff_MinMax_OutIn_Deaths_All","Stringency_Mean_Cases_Out","Stringency_Mean_Deaths_Out","Stringency_Min_Cases_Out","Stringency_Min_Deaths_Out","Stringency_Mean_Full","Stringency_Max_Full","Population","Pop_Dens","Country_Size","Median_Age","Aged_65_Older","Aged_70_Older","GDP_per_Capita","Extreme_Poverty","Cardio_Death_Rate","Diabetes_Prev","Female_Smokers","Male_Smokers","Handwashing_Facilities","Hospital_Beds_per_1000","Life_Expectancy","Human_Development_Index","Latitude","Avg_Temp","Power_Distance","Individualism","Masculinity","Uncertainty_Avoidance","Long_Term_Orientation","Indulgence","Most_Trusted","Conf_Government","Conf_Politicians","Conf_Parliament","Conf_WHO","Conf_Universities","Conf_Elections"
"IRN",-2.68808265379121e-05,0.03061089974059,0.44700150589069,0.960447161189953,NA,NA,NA,NA,-1.61251623097476e-06,0.0201035778017942,0.592734790313054,0.986170565465481,95,NA,87,54.1666666666667,59.26,NA,NA,53.4767924528302,59.26,5.72943539630836,NA,5.03956118247189,10.8227687296417,NA,5.03956118247189,29.3311872146119,32.6504847605225,6.21532391048292,8.52951545752502,59.26,59.26,59.26,59.26,47.9513427561837,44.9472769953052,0,0,48.4372312703583,70.83,83992953,49.831,1685556.24009151,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.798,32.4353275299072,18.25,58,41,43,59,14,40,14.8,0.471634776770728,0.432200480604188,0.548178413346953,0.612273361227336,0.662951705504897,0.612169842861919
"IRQ",-0.000107035606411665,0.00866931329447424,NA,0.938754094700182,-0.198366233023852,0.00942780575620625,NA,0.70293326135172,-2.43744154857792e-06,0.00541636679449019,NA,0.929262003938257,257,263,188,58.162676056338,73.15,56.7792307692308,66.67,73.6228571428571,92.59,-12.9305592377796,-14.3140045248869,2.5296218487395,2.05676470588236,-4.42323529411765,2.5296218487395,-16.837238837279,4.66303786574871,-16.837238837279,4.66303786574871,73.15,92.59,73.15,92.59,74.999914893617,68.9598192771084,0,0,71.0932352941176,96.3,40222503,88.125,456425.565957447,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,0.685,33.2177734375,21.4,NA,NA,NA,NA,25,17,11,0.241545893719807,0.148728665970045,0.160364145658263,0.437352245862884,0.388948690348044,0.192758253461129
"ISL",-0.000175238095238095,0.128440934333361,0.996655518394649,0.978103936117601,-0.0623853211009174,0.0845557907402529,0.990471161714002,0.942089607619367,-1.40659340659341e-06,0.0556063871365439,1,0.798476458451474,88,75,84,52.5132075471698,53.7,52.5790909090909,53.7,53.7,53.7,11.8294895984519,11.895372960373,13.0162820512821,13.0162820512821,13.0162820512821,13.0162820512821,29.0965408805031,26.2986842105263,16.4621525012983,15.0914925373134,42.59,42.59,42.59,42.59,36.0510550458716,38.6085074626866,11.11,11.11,40.6837179487179,53.7,341250,3.404,100249.706227967,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.935,64.9663829803467,1.75,NA,NA,NA,NA,28,67,62.3,0.378139850644942,0.339103869653768,0.431412200876306,NA,NA,NA
"ISR",-5.55805812715808e-05,0.07562033916902,0.949447077409163,0.944664444169117,-0.0725084554077267,0.0542624067259383,0.948695054679662,0.951830850015507,-8.27215768488648e-07,0.0429346982003114,0.88268156424581,0.985938589991793,96,80,103,85.78725,94.44,85.03625,94.44,81.3186274509804,94.44,25.6851413738019,24.9341413738019,21.2165188247823,34.3378913738019,34.3378913738019,21.2165188247823,48.3388716216216,39.1391212781409,33.1284394273128,28.6019919369617,94.44,94.44,94.44,94.44,52.6588105726872,52.7166355140187,0,0,60.1021086261981,94.44,8655541,402.606,21498.787896852,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,0.903,31.4545402526855,20.2,13,54,47,81,38,NA,NA,NA,NA,NA,NA,NA,NA
"ITA",-7.98950372456486e-05,0.0373494678767529,0.96032790957645,0.973403101270836,-0.242785376276803,0.0398368774370935,0.981887416600274,0.965414280276829,-1.12864599462656e-05,0.0410381405842943,0.98968347010551,0.994209974073787,89,71,91,69.5000980392157,93.52,72.3935833333333,93.52,66.4058870967742,93.52,9.41042271454036,12.303908008658,6.31621177209887,33.4303246753247,33.4303246753247,6.31621177209887,18.5596502780217,14.2848726040206,14.0699524081477,10.5727892706872,90.74,90.74,90.74,90.74,55.430145631068,55.833097826087,2.78,2.78,60.0896753246753,93.52,60461828,205.859,293705.050544305,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.88,41.8849868774414,13.45,50,76,70,75,61,30,26.6,0.334015694302286,0.25922131147541,0.359945411122484,NA,NA,NA
"JAM",-5.65994216457666e-06,0.0454107496544146,0.818615751789976,0.900046460921616,-0.127086811352254,0.0433086537445023,0.926482368502087,0.933768393712331,-8.10492911395226e-08,0.0434480362597879,1,0.717081757687248,115,100,102,85.8490476190476,87.04,83.1810606060606,87.04,85.0291428571429,87.04,21.3761044752349,18.7081174622479,20.5561997133301,22.5670568561873,22.5670568561873,20.5561997133301,42.332380952381,47.7052678571429,27.0636270583,24.4480902255639,87.04,87.04,87.04,87.04,58.7854205607477,60.5810526315789,0,0,64.4729431438127,87.04,2961161,266.879,11095.5189430416,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.732,18.1185789108276,24.95,45,39,68,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4788562091503,100,10203140,109.285,93362.675573043,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,0.735,31.2813472747803,19.3,NA,NA,NA,NA,16,43,15.9,0.396544954848842,0.139686684073107,0.143769968051118,0.444963655244029,0.384331116038433,0.216159496327387
"JPN",-3.45708606102805e-06,0.0640904312869779,0.913640106120209,0.976538691562954,-0.126080112419519,0.0576155365363802,0.918922954816571,0.959428595616731,-1.54969551724796e-07,0.0464657158561723,0.96530612244898,0.973471457862713,103,96,121,44.1474468085106,47.22,44.2716666666667,47.22,33.9098550724638,47.22,10.0384659167909,10.1626857749469,-0.199125819255976,13.1110191082803,13.1110191082803,-0.199125819255976,14.1007394914375,0.827455072463771,12.2431089089673,-0.042746968352553,44.44,44.44,44.44,44.44,31.9043378995434,33.9526020408163,2.78,2.78,34.1089808917197,47.22,126476458,347.778,363670.094140515,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.909,34.8877925872803,11.15,54,46,95,92,88,42,33.7,0.452898550724638,0.391912320483749,0.412290502793296,0.601990049751244,0.561632976615141,0.472005932517612
"KAZ",-0.000126565323727957,0.0571692201955211,0.972513970241702,0.965776400511704,-0.128969153811268,0.052075678025092,0.966882812529961,0.962156584864323,-1.90448729907752e-06,0.0406603721821196,0.922818791946309,0.946478133105627,194,192,211,80.5185135135135,83.33,80.6436486486487,83.33,79.5214705882353,83.33,12.4855874684974,12.6107226036326,11.4885445432192,15.2970739549839,15.2970739549839,11.4885445432192,19.5266530483972,16.5203594771242,16.3840409396739,14.7034458968773,83.33,83.33,83.33,83.33,64.1344725738397,64.818024691358,0,0,68.0329260450161,92.13,18776707,6.681,2810463.55336028,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.8,47.9991207122803,6.4,NA,NA,NA,NA,NA,NA,22.8,0.628192032686415,0.560699588477366,0.606310013717421,0.576670529161839,0.603933536792133,0.573809523809524
"KEN",-1.16649588163202e-05,0.0419936376161302,0.781136407116893,0.986870112624048,-0.117536386080655,0.0211722846227324,0.591749747643453,0.963713698629984,-1.8374114072005e-07,0.0349547474924333,0.663967611336032,0.977368794405721,215,206,221,71.320243902439,73.15,72.3431481481481,78.7,70.9790625,73.15,5.90142601106523,6.92433025677434,5.56024460862619,7.7311821086262,13.2811821086262,5.56024460862619,7.64640970554784,7.01951476130653,6.79097919655668,6.19343972419928,70.37,70.37,70.37,70.37,64.5292647058824,64.7856227758007,2.78,2.78,65.4188178913738,88.89,53771300,87.324,615767.715633732,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.59,0.399951219558716,24.75,64,27,41,52,32,40,NA,NA,NA,NA,NA,NA,NA
"KGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.507459807074,92.13,6524191,32.333,201781.183311168,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.672,41.223949432373,1.55,NA,NA,NA,NA,66,39,12.8,0.490655793408087,0.37396694214876,0.390946502057613,0.629222629222629,0.563467492260062,0.380662609871535
"KHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.8945307443366,68.52,16718971,90.672,184389.568995941,25.6,4.412,2.385,3645.07,NA,270.892,4,2,33.7,66.229,0.8,69.82,0.582,12.5581541061401,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,53192,212.865,249.886078030677,NA,NA,NA,24654.385,NA,NA,12.84,NA,NA,NA,2.3,76.23,0.778,17.3135004043579,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOR",-6.34455204796222e-06,0.0620870415080637,0.962739793408755,0.975127372737686,-0.0420454781866977,0.0472795832113156,0.950938262091429,0.979489144439991,-1.03766038167606e-07,0.0356855140169129,0.932330827067669,0.942863491276111,63,52,88,66.6353703703704,82.41,64.5187692307692,82.41,55.5558227848101,82.41,17.7363862433862,15.6197851037851,6.656838657826,33.5110158730159,33.5110158730159,6.656838657826,38.0388587424634,14.745234549516,22.7395905538566,10.1610355507676,82.41,82.41,82.41,82.41,43.8957798165138,45.3947872340426,0,0,48.8989841269841,82.41,51269183,527.967,97106.7945534475,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,NA,12.27,83.03,0.903,35.9124736785889,11.5,60,18,39,85,100,29,32.9,0.492333333333333,0.365666666666667,0.319666666666667,0.613613613613614,0.558333333333333,0.556666666666667
"KWT",-0.000203589081814271,0.00127790978131438,0.352732793522267,0.291902789197325,-0.239322471520614,0.00373175366172694,0.525646637622619,0.91988563255604,-1.70469326877978e-06,0.0107526128789588,0.708791208791209,0.817838151921275,142,149,146,75.8842424242424,100,72.7727027027027,100,78.005306122449,100,9.44829993222963,6.33676021068992,11.5693636304362,33.5640575079872,33.5640575079872,11.5693636304362,18.1208257575758,18.8794190256748,17.0171563315272,17.2922247271001,94.44,94.44,94.44,94.44,58.8670860927152,60.7130813953488,5.56,5.56,66.4359424920128,100,4270563,232.128,18397.44882134,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.803,29.3152351379395,25.35,80,38,53,68,23,34,NA,NA,NA,NA,NA,NA,NA
"LAO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6509935897436,96.3,7275556,29.715,244844.556621235,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.601,18.2082276344299,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBN",-2.92435273788862e-06,0.0381621244271366,0.587174348697395,0.822852544542012,NA,NA,NA,NA,-9.962724758338e-08,0.0455187229364065,0.941176470588235,0.900838901599991,88,NA,81,84.6444117647059,85.19,NA,NA,83.438,85.19,25.7736104826546,NA,24.5671987179487,26.3191987179487,NA,24.5671987179487,59.180926916221,65.0607118644068,28.9257786711807,29.8247704280156,85.19,85.19,85.19,85.19,55.7186330935252,53.6132295719844,0,0,58.8708012820513,87.04,6825442,594.561,11479.8010633055,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.757,33.877197265625,17.4,80,38,53,68,23,34,9.9,0.302755376344086,0.253360215053763,0.273063973063973,0.275724637681159,0.428376068376068,0.272233536999321
"LBR",-1.20213291596122e-06,0.0118159343891557,0.296052631578947,0.634476039367085,NA,NA,NA,NA,-1.26540306943286e-07,0.013949822539183,0.625,0.768487752983862,119,NA,106,87.96,87.96,NA,NA,85.7149180327869,87.96,29.0449019607843,NA,26.7998199935712,29.0449019607843,NA,26.7998199935712,50.3870103092783,55.9399180327869,35.2819270833333,36.7127572287668,87.96,87.96,87.96,87.96,52.6780729166667,49.0021608040201,0,0,58.9150980392157,87.96,5057677,49.127,102951.065605472,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.435,6.44450712203979,25.3,77,20,46,54,9,78,NA,NA,NA,NA,NA,NA,NA
"LBY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1955271565495,100,6871287,3.623,1896573.83383936,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.706,26.339282989502,21.8,80,38,53,68,23,34,NA,NA,NA,NA,NA,NA,NA
"LCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,183629,293.187,626.320403019233,34.9,9.721,6.405,12951.839,NA,204.62,11.62,NA,NA,87.202,1.3,76.2,0.747,13.9054684638977,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIE",-8.07614652437265e-05,0.11259911030354,1,0.96771740086641,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,-Inf,NA,NA,NA,Inf,NA,NA,-Inf,38137,237.012,160.907464600948,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.916,47.1640625,5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LKA",-1.23474951256815e-06,0.011345027276291,0.800302571860817,0.285829999706123,-0.0831185567010309,0.0141158322170331,0.967144775210487,0.692204852830266,-1.30760160181196e-08,0.0209649306938076,1,0.617877664588799,121,64,86,62.7575757575758,82.41,67.4705031446541,100,83.25275,100,14.1909942879272,18.9039216750055,34.6861685303514,33.8434185303514,51.4334185303514,34.6861685303514,14.9659595959596,59.9905625,20.755986972529,46.5955826180257,82.41,100,82.41,100,42.0015887850467,36.6571673819742,0,0,48.5665814696486,100,21413250,341.955,62620.0815896829,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,NA,3.6,76.98,0.77,7.88103032112122,26.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LSO",-1.17073061432549e-05,0.0114224471839255,0.840510366826156,0.665121631698336,NA,NA,NA,NA,-4.48126550937985e-07,0.0207819362254236,1,0.51150888488357,202,NA,217,58.6293023255814,71.3,NA,NA,58.6035,71.3,5.22620328404785,NA,5.20040095846645,17.8969009584665,NA,5.20040095846645,8.83424677002584,7.15421794871795,8.89022623862487,7.64190375586854,71.3,71.3,71.3,71.3,49.7390760869565,50.9615962441315,0,0,53.4030990415335,90.74,2142252,73.562,29121.720453495,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,0.52,29.6120109558105,11.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTU",-1.51343115045379e-05,0.0254972792130448,0.919417475728155,0.852541796725538,-0.0279487877962408,0.0305167317025667,0.963498116319393,0.691669132450846,-5.14272721027987e-07,0.031837947704679,0.971428571428571,0.874578999475882,96,91,106,65.6675,87.04,68.0923595505618,87.04,58.5045652173913,81.48,20.3646753246753,22.7895348752371,13.2017405420666,41.7371753246753,41.7371753246753,13.2017405420666,38.4158783783784,24.5324223602484,28.5105454545455,18.8247041062802,87.04,81.48,87.04,81.48,37.1569545454545,39.6798611111111,0,0,45.3028246753247,87.04,2722291,45.135,60314.4123185998,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.858,55.1520748138428,6.2,42,60,19,65,82,16,31.7,0.441951566951567,0.317134629229662,0.354624781849913,NA,NA,NA
"LUX",-0.000201030071440439,0.0573887610938389,0.970756516211062,0.981015625925425,-0.174505436918643,0.0582870156219452,0.991831361712909,0.967868560237439,-4.34521451301647e-06,0.0640687528539975,1,0.859425407949297,88,72,98,66.5007462686567,79.63,65.8538888888889,79.63,63.1635,79.63,25.1895961089123,24.5427387291445,21.8523498402556,38.3188498402556,38.3188498402556,21.8523498402556,46.663776571687,35.4590263157895,30.9456553595658,26.8719444444444,79.63,79.63,79.63,79.63,35.5550909090909,36.2915555555556,0,0,41.3111501597444,79.63,625976,231.447,2704.61920007604,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.904,49.806324005127,8.65,40,60,50,70,64,56,NA,NA,NA,NA,NA,NA,NA
"LVA",-1.23210557511868e-05,0.0344029666256463,0.944922547332186,0.963679136240203,-0.0287300664988056,0.0364792884233003,0.969097585374772,0.97576030609168,-3.18099546071948e-07,0.0202239215328379,1,0.780060690470185,89,79,109,63.5633720930233,69.44,63.6166666666667,69.44,60.6527397260274,69.44,19.3656123527635,19.4189069264069,16.4549799857677,25.2422402597403,25.2422402597403,16.4549799857677,45.0166556751128,30.4064178869469,26.8676063272575,21.56652696007,69.44,69.44,69.44,69.44,36.6957657657658,39.0862127659574,0,0,44.1977597402597,69.44,1886202,31.212,60431.9492502884,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.847,56.8654766082764,5.6,44,70,9,63,69,13,NA,NA,NA,NA,NA,NA,NA
"MAR",-4.37706739627182e-06,0.0280292856393158,0.60609061648923,0.959867809670929,-0.232145872024312,0.0505311434604785,0.979734015067508,0.917773851831644,-1.46299603490145e-07,0.0401551688629616,0.918518518518519,0.979508493457533,118,73,97,93.52,93.52,90.3783333333333,93.52,93.52,93.52,30.8924038461538,27.7507371794872,30.8924038461538,30.8924038461538,30.8924038461538,30.8924038461538,51.6497916666667,66.1117333333333,35.3056043956044,38.7085542168675,93.52,93.52,93.52,93.52,58.2143956043956,54.8114457831325,0,0,62.6275961538462,93.52,36910558,80.08,460921.053946054,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,0.667,28.6752920150757,18.1,70,46,53,68,14,25,NA,NA,NA,NA,NA,NA,NA
"MCO",-8.76567118540414e-05,0.059927907039242,0.988372093023256,0.712265084670234,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,22.22,22.22,NA,NA,NA,NA,5.63931034482759,NA,NA,5.63931034482759,NA,NA,7.215,NA,7.215,NA,22.22,NA,22.22,NA,15.005,NA,0,NA,16.5806896551724,22.22,39244,19347.5,2.02837575914201,NA,NA,NA,NA,NA,NA,5.46,NA,NA,NA,13.8,86.75,NA,43.7513179779053,14.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDA",-7.58261788717447e-05,0.0174066605848048,0.259578919837845,0.946292982629977,NA,NA,NA,NA,-2.22114084834194e-06,0.00250075911982498,0.254464285714286,0.526476278584224,173,NA,179,80.56,80.56,NA,NA,65.3418867924528,80.56,24.4835830618893,NA,9.26546985434208,24.4835830618893,NA,9.26546985434208,23.8921854304636,7.7609950727076,25.9188275862069,11.1988159263111,80.56,80.56,80.56,80.56,54.6411724137931,54.1430708661417,0,0,56.0764169381107,87.04,4033963,123.655,32622.7245157899,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.7,46.9640865325928,9.45,NA,NA,NA,NA,71,19,NA,NA,NA,NA,NA,NA,NA
"MDG",-1.14910903062108e-05,0.0294974610913064,0.993505133040017,0.965652795212087,-0.474662729042218,0.0233681446594669,0.808964408109687,0.984541570045715,-1.51673724971985e-07,0.0280085513693765,0.984126984126984,0.941863421971988,202,197,209,51.2564122137405,70.37,63.2523076923077,70.37,50.2558870967742,70.37,-0.15979357404089,11.8361019045263,-1.16031869100716,18.9537942122187,18.9537942122187,-1.16031869100716,-0.276087786259545,-1.92972787648784,-0.276087786259545,-1.92972787648784,70.37,70.37,70.37,70.37,51.5325,52.185614973262,0,0,51.4162057877814,95.37,27691019,43.951,630042.979681919,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,67.04,0.519,18.8250484466553,22.65,64,27,41,52,32,40,NA,NA,NA,NA,NA,NA,NA
"MDV",-8.73937640368371e-05,0.0278031651589221,0.615580016934801,0.877342897765248,-0.0969802726923191,0.0374573240065565,0.776959346791082,0.961027460157914,-3.69999001002697e-07,0.0382163194851968,0.8,0.546768315375377,140,132,145,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,NA,NA,Inf,Inf,NA,-Inf,540542,1454.433,371.651358295638,30.6,4.12,2.875,15183.616,NA,164.905,9.19,2.1,55,95.803,NA,78.92,0.717,3.73852550983429,27.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",-5.15571089992936e-05,0.00646781127251854,0.315178866925414,0.973059298935048,-0.53047736592746,0.000519335368065818,0.298122530743386,0.0196616209810471,-5.15338410558875e-06,0.0042439702738701,0.457949551502017,0.802793755634844,201,216,179,71.7283606557377,74.54,72.258947368421,74.54,71.7902586206897,74.54,16.0002204118353,16.5308071245186,16.0621183767872,18.8118597560976,18.8118597560976,16.0621183767872,26.2490571731506,29.4266832016952,19.6557014797077,24.8508246584255,74.54,74.54,74.54,74.54,52.07265917603,46.9394339622642,0,0,55.7281402439024,82.41,128932753,66.444,1940472.47306002,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.774,23.63037109375,21,81,30,69,82,24,97,10.5,0.22655989322656,0.168835502168835,0.208839406207827,0.468826192964124,0.570947084597236,0.250755287009063
"MHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,59194,295.15,200.55564966966,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.708,8.48422861099243,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MKD",-1.99867522967486e-05,0.0330191708322319,0.528338136407301,0.953043663086564,-0.0952337389076937,0.0159255522479905,0.408814196277336,0.955399569277571,-1.13277462584838e-06,0.013966629406388,0.406779661016949,0.656722780980331,101,102,108,NA,-Inf,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,-Inf,-Inf,-Inf,NA,NA,Inf,Inf,NA,-Inf,2083380,82.6,25222.5181598063,39.1,13.26,8.16,13111.214,5,322.688,10.08,NA,NA,NA,4.28,75.8,0.757,41.6040287017822,9.8,NA,NA,NA,NA,62,35,15.1,0.295610425240055,0.256143994461752,0.345373237014104,NA,NA,NA
"MLI",-1.80930819935613e-06,0.0372069414145325,0.879912663755459,0.921929871343091,NA,NA,NA,NA,-1.00736591885549e-07,0.0503333250229024,0.980392156862745,0.973320034421484,155,NA,152,52.78,52.78,NA,NA,52.0385714285714,56.48,11.2257843137255,NA,10.4843557422969,11.2257843137255,NA,10.4843557422969,16.3429323308271,16.0071098901099,13.7955421686747,13.5941222760291,52.78,56.48,52.78,56.48,38.9844578313253,38.4444491525424,0,0,41.5542156862745,72.22,20250834,15.196,1332642.40589629,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,59.31,0.427,17.5694332122803,28.25,NA,NA,NA,NA,20,43,NA,NA,NA,NA,NA,NA,NA
"MLT",-3.08013561655935e-05,0.0315764431191124,0.979411764705882,0.860429051516122,-0.031582054309327,0.0316901875028339,0.989117986065736,0.936818463862775,NA,NA,NA,NA,90,70,NA,NA,-Inf,NA,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,-Inf,NA,NA,NA,Inf,NA,NA,-Inf,441539,1454.037,303.66421212115,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.878,35.947998046875,20.2,56,59,47,96,47,66,NA,NA,NA,NA,NA,NA,NA
"MMR",-2.40508170275374e-05,0.00683473960080029,0.108879718783432,0.833782644449167,NA,NA,NA,NA,-5.88864570963088e-07,0.0139310320195691,0.294631710362048,0.980853853021505,291,NA,287,80.7523076923077,81.02,NA,NA,80.7036363636364,81.02,15.2622118456623,NA,15.213540516991,15.5299041533546,NA,15.213540516991,17.5853931941664,17.8062024013722,16.6448512463147,16.3637050921587,81.02,81.02,81.02,81.02,64.107456445993,64.3399312714777,0,0,65.4900958466454,86.11,54409794,81.721,665799.415083026,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.578,19.1962156295776,13.05,NA,NA,NA,NA,NA,NA,15.1,0.700700700700701,0.584333333333333,0.640666666666667,0.817666666666667,0.707666666666667,0.661666666666667
